KANAL-ID | PROGRAMMER | DISPLAY-NAME
========================================================================================================================
3Sat.dk | 150 | 3Sat
6'eren.dk | 103 | 6'eren
ARD.dk | 139 | ARD
ARTE.dk | 118 | ARTE
Abu.Dhabi.TV.dk | 0 | Abu Dhabi TV
Al.Aoula.dk | 0 | Al Aoula
Al.Jazeera.Engelsk.dk | 153 | Al Jazeera Engelsk
Al.Jazeera.dk | 4 | Al Jazeera
Al.Masriyah.dk | 0 | Al Masriyah
Animal.Planet.dk | 112 | Animal Planet
BBC.Earth.dk | 0 | BBC Earth
BBC.HD.dk | 0 | BBC HD
BBC.News.dk | 226 | BBC News
BBC.Nordic+.dk | 4 | BBC Nordic+
BBC.Nordic.dk | 141 | BBC Nordic
Beboer-tv.dk | 4 | Beboer-tv
Bloomberg.News.dk | 99 | Bloomberg News
Blue.Hustler.dk | 41 | Blue Hustler
C.MORE.VOD.dk | 0 | C MORE VOD
C.More.First.dk | 0 | C More First
C.More.Hits.dk | 0 | C More Hits
C.More.Series.dk | 0 | C More Series
C.More.Stars.dk | 0 | C More Stars
C.More.dk | 4 | C More
CBS.Reality.dk | 0 | CBS Reality
CCTV.4.dk | 4 | CCTV 4
CNBC.dk | 166 | CNBC
CNN.dk | 118 | CNN
Canal.9.dk | 97 | Canal 9
Cartoon.Network.dk | 472 | Cartoon Network
Cartoonito.dk | 598 | Cartoonito
DR.Ramasjang.dk | 7 | DR Ramasjang
DR.VOD.bibliotek.dk | 0 | DR VOD bibliotek
DR1.Synstolkning.dk | 122 | DR1 Synstolkning
DR1.dk | 122 | DR1
DR2.Synstolkning.dk | 95 | DR2 Synstolkning
DR2.dk | 95 | DR2
DRTV.dk | 4 | DRTV
DanmarkC.TV.dk | 4 | DanmarkC TV
Dansk.Filmskat.Tv.dk | 4 | Dansk Filmskat Tv
Dansk.Filmskat.VOD.dk | 0 | Dansk Filmskat VOD
Dansk.Filmskat.dk | 4 | Dansk Filmskat
Discovery.Channel.dk | 97 | Discovery Channel
Discovery.Science.dk | 4 | Discovery Science
Disney+.NKU25.dk | 0 | Disney+ NKU25
Disney+.Premium.dk | 0 | Disney+ Premium
Disney+.Standard.dk | 0 | Disney+ Standard
Disney+.Standard.med.reklamer.dk | 0 | Disney+ Standard med reklamer
Disney+.dk | 0 | Disney+
Disney.Channel.dk | 321 | Disney Channel
Disney.Junior.dk | 0 | Disney Junior
Disney.Pakken.dk | 0 | Disney Pakken
Dit.Lokal.TV.dk | 4 | Dit Lokal TV
EDTV.-.Dubai.TV.dk | 4 | EDTV - Dubai TV
EuroSport.2.HD.dk | 0 | EuroSport 2 HD
Euronews.dk | 345 | Euronews
Eurosport.1.dk | 57 | Eurosport 1
Eurosport.2.dk | 53 | Eurosport 2
Eventkanalen.dk | 4 | Eventkanalen
FOLKETINGET.dk | 36 | FOLKETINGET
FOX.VOD.dk | 0 | FOX VOD
Fox+.dk | 0 | Fox+
France.2.dk | 150 | France 2
GVD.Info.dk | 4 | GVD Info
HAS-TV.dk | 0 | HAS-TV
HBO.Max.Basis.med.reklamer.+.Sport.dk | 0 | HBO Max Basis med reklamer + Sport
HBO.Max.Basis.med.reklamer.dk | 0 | HBO Max Basis med reklamer
HBO.Max.Premium.+.Sport.dk | 0 | HBO Max Premium + Sport
HBO.Max.Premium.dk | 0 | HBO Max Premium
HBO.Max.Standard.+.Sport.dk | 4 | HBO Max Standard + Sport
HBO.Max.Standard.dk | 4 | HBO Max Standard
HBO.Max.dk | 0 | HBO Max
HBO.Nordic.Tv.dk | 0 | HBO Nordic Tv
HBO.dk | 0 | HBO
HISTORY.dk | 127 | HISTORY
HISTORY2.dk | 129 | HISTORY2
HaIP.test.1.dk | 0 | HaIP test 1
HaIP.test.2.dk | 0 | HaIP test 2
HaIP.test.3.dk | 0 | HaIP test 3
HaIP.test.4.dk | 4 | HaIP test 4
Infokanalen.dk | 97 | Infokanalen
Investigation.Discovery.dk | 99 | Investigation Discovery
Jordan.TV.dk | 0 | Jordan TV
Kabelfødt.lokal-tv.dk | 4 | Kabelfødt lokal-tv
Kanal.4.dk | 116 | Kanal 4
Kanal.5.dk | 96 | Kanal 5
Kanal.Bornholm/Tegnsprog.dk | 16 | Kanal Bornholm/Tegnsprog
Kanal.Fyn/Tegnsprog.dk | 97 | Kanal Fyn/Tegnsprog
Kanal.Hovedstaden/Tegnsprog.dk | 50 | Kanal Hovedstaden/Tegnsprog
Kanal.Midtvest/Tegnsprog.dk | 85 | Kanal Midtvest/Tegnsprog
Kanal.Nord/Tegnsprog.dk | 85 | Kanal Nord/Tegnsprog
Kanal.Syd/Tegnsprog.dk | 21 | Kanal Syd/Tegnsprog
